ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
165.00	860.00	776.00	0.00	433.00	32943.00	0.60	1.25	2.06	575.00	32943.00	76.08	25.00	141.00	38.20	1459.20	11.57	0.00	76.08	0.00	0.00	0.00	0.69	433.00	3.83	0.02	0.00	9.30	0.05	270.93	51493.78	44644960.00	
166.00	1147.00	284.00	0.00	432.00	34823.00	0.46	1.13	2.21	600.00	34823.00	80.61	24.00	134.00	34.28	1175.22	10.13	0.00	80.61	0.00	0.00	0.00	0.67	432.00	3.82	0.05	0.00	9.26	0.07	226.87	-81098.40	27827078.00	
167.00	195.00	367.00	0.00	431.00	21073.00	0.44	1.12	1.92	528.00	21073.00	48.89	25.00	88.00	18.60	345.93	6.28	0.00	48.89	0.00	0.00	0.00	0.65	431.00	3.81	0.00	0.00	8.94	0.13	51.12	17267.15	3101304.25	
168.00	361.00	145.00	0.00	423.00	31668.00	0.54	1.19	0.19	650.00	31668.00	74.87	23.00	133.00	36.71	1347.88	9.92	0.00	74.87	0.00	0.00	0.00	0.68	423.00	3.74	0.04	0.00	9.22	0.09	158.55	-6141.31	36535836.00	
169.00	1064.00	754.00	0.00	423.00	17784.00	0.70	1.40	2.18	648.00	17784.00	42.04	25.00	67.00	11.94	142.51	4.36	0.00	42.04	0.00	0.00	0.00	0.69	423.00	3.74	0.02	0.00	8.51	0.11	33.13	2953.58	480016.25	
170.00	435.00	164.00	0.00	422.00	22611.00	0.43	1.11	2.93	528.00	22611.00	53.58	25.00	92.00	18.45	340.44	7.07	0.00	53.58	0.00	0.00	0.00	0.65	422.00	3.73	0.00	0.00	9.09	0.18	59.75	2886.54	2684229.75	
171.00	521.00	807.00	0.00	421.00	32038.00	0.31	1.05	0.91	576.00	32038.00	76.10	25.00	134.00	34.45	1186.77	9.76	0.00	76.10	0.00	0.00	0.00	0.66	421.00	3.72	0.03	0.00	9.33	0.07	162.41	-2616.01	28028940.00	
172.00	1126.00	502.00	0.00	420.00	20491.00	0.68	1.37	2.18	675.00	20491.00	48.79	25.00	88.00	17.24	297.24	5.97	0.00	48.79	0.00	0.00	0.00	0.69	420.00	3.71	0.03	0.00	8.92	0.10	62.96	14382.98	2273129.50	
173.00	945.00	644.00	0.00	420.00	31485.00	0.80	1.67	2.38	624.00	31485.00	74.96	25.00	143.00	36.26	1314.99	12.84	0.00	74.96	0.00	0.00	0.00	0.74	420.00	3.71	0.02	0.00	9.41	0.05	372.15	43323.36	35632536.00	
174.00	538.00	797.00	0.00	420.00	33486.00	0.45	1.12	1.36	598.00	33486.00	79.73	25.00	134.00	34.29	1175.95	10.50	0.00	79.73	0.00	0.00	0.00	0.66	420.00	3.71	0.03	0.00	9.29	0.08	195.01	-39537.57	26550858.00	
175.00	352.00	161.00	0.00	419.00	33501.00	0.56	1.21	3.09	525.00	33501.00	79.95	25.00	141.00	36.51	1333.33	11.13	0.00	79.95	0.00	0.00	0.00	0.66	419.00	3.70	0.03	0.00	9.34	0.04	228.19	-14683.01	37024372.00	
176.00	1330.00	277.00	0.00	418.00	26212.00	0.48	1.14	2.83	525.00	26212.00	62.71	25.00	107.00	23.05	531.25	7.83	0.00	62.71	0.00	0.00	0.00	0.69	418.00	3.70	0.02	0.00	9.14	0.16	80.64	-6930.81	6656305.00	
177.00	202.00	842.00	0.00	416.00	29965.00	0.53	1.18	2.68	528.00	29965.00	72.03	25.00	134.00	31.65	1001.86	11.74	0.00	72.03	0.00	0.00	0.00	0.65	416.00	3.68	0.00	0.00	9.30	0.09	189.08	5434.33	21775614.00	
178.00	122.00	746.00	0.00	412.00	19644.00	0.31	1.05	1.86	506.00	19644.00	47.68	25.00	87.00	17.52	307.03	6.05	0.00	47.68	0.00	0.00	0.00	0.64	412.00	3.64	0.00	0.00	8.95	0.16	42.97	17047.33	2580627.50	
179.00	1143.00	304.00	0.00	409.00	26004.00	0.60	1.25	2.74	504.00	26004.00	63.58	24.00	111.00	26.73	714.59	8.33	0.00	63.58	0.00	0.00	0.00	0.68	409.00	3.62	0.02	0.00	9.16	0.07	110.16	2943.60	10563960.00	
180.00	45.00	374.00	0.00	406.00	22589.00	0.70	1.40	1.59	468.00	22589.00	55.64	22.00	100.00	24.14	582.83	5.96	0.00	55.64	0.00	0.00	0.00	0.69	406.00	3.59	0.04	0.00	8.87	0.12	46.69	25161.39	7887972.00	
181.00	605.00	534.00	0.00	405.00	27424.00	0.59	1.24	1.00	550.00	27424.00	67.71	25.00	109.00	25.65	657.79	8.02	0.00	67.71	0.00	0.00	0.00	0.66	405.00	3.58	0.03	0.00	9.14	0.12	89.92	-20072.79	9555201.00	
